en	is
naive person	einfeldninginum
naive person	einfeldninga
simpleton	einfeldningur
simpleton	einfeldninginn
simpleton	einfeldningurinn
simpleton	einfeldningsins
simpleton	einfeldningunum
simpleton	einfeldningana
simpleton	einfeldningar
simpleton	einfeldnings
simpleton	einfeldningarnir
simpleton	einfeldningum
simpleton	einfeldningi
simpleton	einfeldning
simpleton	einfeldninganna
simpleton	einfeldninginum
simpleton	einfeldninga
monophthong	einhljóð
unicorn	einhyrningur
unicorn	einhyrningsins
unicorn	einhyrningum
unicorn	einhyrningar
unicorn	einhyrninganna
unicorn	einhyrningnum
unicorn	einhyrninginn
unicorn	einhyrnings
unicorn	einhyrning
unicorn	einhyrningarnir
unicorn	einhyrningi
unicorn	einhyrningurinn
unicorn	einhyrningana
unicorn	einhyrningunum
unicorn	einhyrninga
juniper berry	einiber
juniper	einir
juniper	einis
juniper	eininn
juniper	eininum
juniper	einirinn
juniper	einisins
juniper	eini
private enterprise	einkaframtak
patent monopoly	einkaleyfi
private life	einkalíf
private secretary	einkaritari
monopoly	einkasala
private clinic	einkasjúkrahús
private clinic	einkasjúkrahúss
private clinic	einkasjúkrahúsið
private clinic	einkasjúkrahússins
private clinic	einkasjúkrahúsa
private clinic	einkasjúkrahúsanna
private clinic	einkasjúkrahúsunum
private clinic	einkasjúkrahúsi
private clinic	einkasjúkrahúsin
private clinic	einkasjúkrahúsum
private clinic	einkasjúkrahúsinu
private school	einkaskóli
private school	einkaskólarnir
private school	einkaskólann
private school	einkaskólana
private school	einkaskólunum
private school	einkaskóla
private school	einkaskólanna
private school	einkaskólar
private school	einkaskólum
private school	einkaskólans
private school	einkaskólanum
private school	einkaskólinn
private investigator	einkaspæjari
private detective	einkaspæjari
privatization	einkavæðing
uniform	einkennisbúningur
uniform	einkennisbúningana
uniform	einkennisbúningsins
uniform	einkennisbúningum
uniform	einkennisbúnings
uniform	einkennisbúning
uniform	einkennisbúningarnir
uniform	einkennisbúninganna
uniform	einkennisbúningnum
uniform	einkennisbúningunum
uniform	einkennisbúninginn
uniform	einkennisbúningar
uniform	einkennisbúninga
uniform	einkennisbúningurinn
uniform	einkennisbúningi
singles	einliðakeppni
sincerity	einlægni
sincerity	einlægninni
sincerity	einlægnin
sincerity	einlægnina
sincerity	einlægninnar
celibacy	einlífi
loneliness	einmanaleiki
loneliness	einmanaleikans
loneliness	einmanaleikann
loneliness	einmanaleikanum
loneliness	einmanaleika
loneliness	einmanaleikinn
monopoly	einokun
cloning	einræktun
dictatorship	einræði
dictator	einræðisherra
dictator	einræðisherrar
dictator	einræðisherrunum
dictator	einræðisherrarnir
dictator	einræðisherranna
dictator	einræðisherrans
dictator	einræðisherrann
dictator	einræðisherranum
dictator	einræðisherrum
dictator	einræðisherrana
unique incident	einsdæmi
individualism	einstaklingshyggja
individualism	einstaklingshyggjunni
individualism	einstaklingshyggjan
individualism	einstaklingshyggju
individualism	einstaklingshyggjunnar
individualism	einstaklingshyggjuna
single's apartment	einstaklingsíbúð
one-person flat	einstaklingsíbúð
individual	einstaklingur
individual	einstaklinginum
individual	einstaklinga
individual	einstaklingana
individual	einstaklinganna
individual	einstaklingi
individual	einstaklingum
individual	einstakling
individual	einstaklings
individual	einstaklingarnir
individual	einstaklinginn
individual	einstaklingurinn
individual	einstaklingsins
individual	einstaklingunum
individual	einstaklingar
one-way traffic	einstefna
one-way street	einstefnugata
one-way street	einstefnugötunnar
one-way street	einstefnugatnanna
one-way street	einstefnugötur
one-way street	einstefnugatna
one-way street	einstefnugöturnar
one-way street	einstefnugötunni
one-way street	einstefnugötunum
one-way street	einstefnugötu
one-way street	einstefnugatan
one-way street	einstefnugötum
one-way street	einstefnugötuna
einsteinium	einsteinín
einsteinium	einsteiníni
einsteinium	einsteiníns
einsteinium	einsteinínsins
einsteinium	einsteinínið
einsteinium	einsteiníninu
narrow path	einstigi
person bereft of family or friends	einstæðingur
orphan	einstæðingur
solo	einsöngur
solo singer	einsöngvari
solo singer	einsöngvurunum
solo singer	einsöngvarinn
solo singer	einsöngvarana
solo singer	einsöngvarar
solo singer	einsöngvarann
solo singer	einsöngvararnir
solo singer	einsöngvaranum
solo singer	einsöngvarans
solo singer	einsöngvurum
solo singer	einsöngvara
solo singer	einsöngvaranna
soloist	einsöngvari
soloist	einsöngvurunum
soloist	einsöngvarinn
soloist	einsöngvarana
soloist	einsöngvarar
soloist	einsöngvarann
soloist	einsöngvararnir
soloist	einsöngvaranum
soloist	einsöngvarans
soloist	einsöngvurum
soloist	einsöngvara
soloist	einsöngvaranna
singular	eintala
singular	eintölu
singular	eintöluna
singular	eintalan
singular	eintölunnar
singular	eintölunni
absolute rule	einveldi
absolute monarchy	einveldi
solitude	einvera
solitude	einverunni
solitude	einverunnar
solitude	einveru
solitude	einveruna
solitude	einveran
single farmer	einyrki
single farmer	einyrkjum
single farmer	einyrkjarnir
single farmer	einyrkjanum
single farmer	einyrkja
single farmer	einyrkjans
single farmer	einyrkjann
single farmer	einyrkjar
single farmer	einyrkinn
single farmer	einyrkjunum
single farmer	einyrkjanna
single farmer	einyrkjana
one-act play	einþáttungur
copper	eir
ease	eirð
peace of mind	eirð
testicle	eista
testicle	eistunum
testicle	eistanna
testicle	eistans
testicle	eistanu
testicle	eistun
testicle	eistað
testicle	eistum
Estonian	eistneska
Estonian	eistneskunni
Estonian	eistneskuna
Estonian	eistneskan
Estonian	eistnesku
Estonian	eistneskunnar
lymph gland	eitill
poisoning	eitrun
poisoning	eitranirnar
poisoning	eitrana
poisoning	eitrununum
poisoning	eitrananna
poisoning	eitrunin
poisoning	eitruninni
poisoning	eitrunar
poisoning	eitrunarinnar
poisoning	eitranir
poisoning	eitrunina
poisoning	eitrunum
poison	eitur
poison	eiturs
poison	eitursins
poison	eitri
poison	eitrið
poison	eitrinu
poison	eitranna
poison	eitrin
poison	eitrum
poison	eitrunum
drug addict	eiturlyfjasjúklingur
drug addict	eiturlyfjasjúklingnum
drug addict	eiturlyfjasjúklingar
drug addict	eiturlyfjasjúklinga
drug addict	eiturlyfjasjúklingsins
drug addict	eiturlyfjasjúklinginn
drug addict	eiturlyfjasjúklingunum
drug addict	eiturlyfjasjúklingurinn
drug addict	eiturlyfjasjúklinganna
drug addict	eiturlyfjasjúklingi
drug addict	eiturlyfjasjúkling
drug addict	eiturlyfjasjúklingana
drug addict	eiturlyfjasjúklings
drug addict	eiturlyfjasjúklingarnir
drug addict	eiturlyfjasjúklingum
poisonous snake	eiturslanga
oath	eiður
oath	eiðs
oath	eið
oath	eiðar
oath	eiða
oath	eiðurinn
oath	eiðinn
oath	eiði
oath	eiðsins
oath	eiðum
oath	eiðarnir
oath	eiðana
oath	eiðunum
oath	eiðanna
oath	eiðinum
driver	ekill
not	ekki
sob	ekki
sob	ekkanum
sob	ekkinn
sob	ekkum
sob	ekkar
sob	ekkanna
sob	ekka
sob	ekkana
sob	ekkans
sob	ekkarnir
sob	ekkunum
sob	ekkann
widower	ekkill
widow	ekkja
scarcity	ekla
want	ekla
shortage	ekla
acre	ekra
acre	ekrum
acre	ekrunnar
acre	ekru
acre	ekruna
acre	ekrurnar
acre	ekran
acre	ekrunni
acre	ekrur
acre	ekrunum
acre	ekranna
field	ekra
field	ekrum
field	ekrunnar
field	ekru
field	ekruna
field	ekrurnar
field	ekran
field	ekrunni
field	ekrur
field	ekrunum
field	ekranna
cooking	eldamennska
cooking	eldamennskunnar
cooking	eldamennskunni
cooking	eldamennskan
cooking	eldamennsku
cooking	eldamennskuna
volcano	eldfjall
volcano	eldfjalla
volcano	eldfjalls
volcano	eldfjöll
volcano	eldfjallanna
volcano	eldfjöllin
volcano	eldfjöllum
volcano	eldfjallsins
volcano	eldfjöllunum
volcano	eldfjallið
volcano	eldfjalli
volcano	eldfjallinu
volcanology	eldfjallafræði
volcanology	eldfjallafræðin
volcanology	eldfjallafræðina
volcanology	eldfjallafræðinni
volcanology	eldfjallafræðinnar
rocket	eldflaug
rocket	eldflauganna
rocket	eldflaugar
rocket	eldflaugarinnar
rocket	eldflauginni
rocket	eldflauga
rocket	eldflaugina
rocket	eldflaugarnar
rocket	eldflaugin
rocket	eldflaugum
rocket	eldflaugunum
missile	eldflaug
missile	eldflauganna
missile	eldflaugar
missile	eldflaugarinnar
missile	eldflauginni
missile	eldflauga
missile	eldflaugina
missile	eldflaugarnar
missile	eldflaugin
missile	eldflaugum
missile	eldflaugunum
eruption	eldgos
eruption	eldgosið
eruption	eldgosum
eruption	eldgoss
eruption	eldgossins
eruption	eldgosanna
eruption	eldgosunum
eruption	eldgosi
eruption	eldgosinu
eruption	eldgosa
eruption	eldgosin
crater	eldgígur
crater	eldgígarnir
crater	eldgíg
crater	eldgíga
crater	eldgígurinn
crater	eldgígana
crater	eldgíganna
crater	eldgígsins
crater	eldgígs
crater	eldgígunum
crater	eldgígnum
crater	eldgíginn
crater	eldgígar
crater	eldgígum
blaze	eldhaf
blaze	eldhafa
blaze	eldhöfin
blaze	eldhafi
blaze	eldhöfunum
blaze	eldhöf
blaze	eldhafs
blaze	eldhafið
blaze	eldhafanna
blaze	eldhafinu
blaze	eldhafsins
blaze	eldhöfum
inferno	eldhaf
inferno	eldhafa
inferno	eldhöfin
inferno	eldhafi
inferno	eldhöfunum
inferno	eldhöf
inferno	eldhafs
inferno	eldhafið
inferno	eldhafanna
inferno	eldhafinu
inferno	eldhafsins
inferno	eldhöfum
fireball	eldhnöttur
fireball	eldhnöttinn
fireball	eldhnattanna
fireball	eldhnött
fireball	eldhnettina
fireball	eldhnattar
fireball	eldhnetti
fireball	eldhnattarins
fireball	eldhnöttum
fireball	eldhnötturinn
fireball	eldhnettinum
fireball	eldhnöttunum
fireball	eldhnettir
fireball	eldhnatta
fireball	eldhnettirnir
fire risk	eldhætta
fire risk	eldhættunnar
fire risk	eldhættanna
fire risk	eldhættur
fire risk	eldhættunni
fire risk	eldhættan
fire risk	eldhættunum
fire risk	eldhættum
fire risk	eldhætturnar
fire risk	eldhættu
fire risk	eldhættuna
fire hazard	eldhætta
fire hazard	eldhættunnar
fire hazard	eldhættanna
fire hazard	eldhættur
fire hazard	eldhættunni
fire hazard	eldhættan
fire hazard	eldhættunum
fire hazard	eldhættum
fire hazard	eldhætturnar
fire hazard	eldhættu
fire hazard	eldhættuna
kitchen	eldhús
kitchen	eldhúsum
kitchen	eldhúsa
kitchen	eldhúsin
kitchen	eldhúsi
kitchen	eldhúsinu
kitchen	eldhúss
kitchen	eldhússins
kitchen	eldhúsið
kitchen	eldhúsanna
kitchen	eldhúsunum
kitchen unit	eldhúsinnrétting
kitchen furnishings	eldhúsinnrétting
lightning	elding
lightning	eldingarnar
lightning	eldinga
lightning	eldingunni
lightning	eldinganna
lightning	eldingunum
lightning	eldingu
lightning	eldingin
lightning	eldingum
lightning	eldingar
lightning	eldingarinnar
lightning	eldinguna
flash of lightning	elding
flash of lightning	eldingarnar
flash of lightning	eldinga
flash of lightning	eldingunni
flash of lightning	eldinganna
flash of lightning	eldingunum
flash of lightning	eldingu
flash of lightning	eldingin
flash of lightning	eldingum
flash of lightning	eldingar
flash of lightning	eldingarinnar
flash of lightning	eldinguna
lightning rod	eldingavari
lightning rod	eldingavaranum
lightning rod	eldingavarans
lightning rod	eldingavörunum
lightning rod	eldingavararnir
lightning rod	eldingavarinn
lightning rod	eldingavaranna
lightning rod	eldingavarar
lightning rod	eldingavarana
lightning rod	eldingavarann
lightning rod	eldingavara
lightning rod	eldingavörum
farmed fish	eldisfiskur
firewood	eldiviður
firewood	eldivið
firewood	eldiviðanna
firewood	eldiviðunum
firewood	eldiviðum
firewood	eldiviðina
firewood	eldiviðar
firewood	eldiviðirnir
firewood	eldiviðinn
firewood	eldiviðnum
firewood	eldiviðir
firewood	eldiviði
firewood	eldiviðurinn
firewood	eldiviða
firewood	eldiviðarins
line of fire	eldlína
enthusiasm	eldmóður
enthusiasm	eldmóðinum
enthusiasm	eldmóðs
enthusiasm	eldmóði
enthusiasm	eldmóðurinn
enthusiasm	eldmóð
enthusiasm	eldmóðsins
enthusiasm	eldmóðinn
match	eldspýta
match	eldspýtu
match	eldspýtur
match	eldspýtunni
match	eldspýtna
match	eldspýtuna
match	eldspýturnar
match	eldspýtunnar
match	eldspýtan
match	eldspýtnanna
match	eldspýtum
match	eldspýtunum
fireplace	eldstæði
fireplace	eldstæðin
fireplace	eldstæðum
fireplace	eldstæðunum
fireplace	eldstæðanna
fireplace	eldstæðisins
fireplace	eldstæða
fireplace	eldstæðið
fireplace	eldstæðinu
fireplace	eldstæðis
hearth	eldstæði
hearth	eldstæðin
hearth	eldstæðum
hearth	eldstæðunum
hearth	eldstæðanna
hearth	eldstæðisins
hearth	eldstæða
hearth	eldstæðið
hearth	eldstæðinu
hearth	eldstæðis
blaze	eldsvoði
blaze	eldsvoða
blaze	eldsvoðar
blaze	eldsvoðann
blaze	eldsvoðana
blaze	eldsvoðinn
blaze	eldsvoðum
blaze	eldsvoðanna
blaze	eldsvoðanum
blaze	eldsvoðarnir
blaze	eldsvoðunum
blaze	eldsvoðans
inferno	eldsvoði
inferno	eldsvoða
inferno	eldsvoðar
inferno	eldsvoðann
inferno	eldsvoðana
inferno	eldsvoðinn
inferno	eldsvoðum
inferno	eldsvoðanna
inferno	eldsvoðanum
inferno	eldsvoðarnir
inferno	eldsvoðunum
inferno	eldsvoðans
flame	eldtunga
flame	eldtungur
flame	eldtungnanna
flame	eldtungna
flame	eldtungurnar
flame	eldtungunni
flame	eldtungu
flame	eldtunguna
flame	eldtungan
flame	eldtungunnar
flame	eldtungunum
flame	eldtungum
cooking	eldunaraðstaða
facility	eldunaraðstaða
fire	eldur
fire	eldinum
fire	eldinn
fire	eldurinn
fire	eldarnir
fire	eldsins
fire	eldanna
fire	eldi
fire	eld
fire	elds
fire	eldana
fire	eldunum
fire	eldum
fire	eldar
moose	elgur
moose	elgurinn
moose	elgnum
moose	elgja
moose	elgirnir
moose	elgi
moose	elgsins
moose	elg
moose	elgs
moose	elgina
moose	elgjum
moose	elgjunum
moose	elginn
moose	elgir
moose	elgjanna
elk	elgur
elk	elgurinn
elk	elgnum
elk	elgja
elk	elgirnir
elk	elgi
elk	elgsins
elk	elg
elk	elgs
elk	elgina
elk	elgjum
elk	elgjunum
elk	elginn
elk	elgir
elk	elgjanna
diligence	elja
diligence	eljanna
diligence	eljur
diligence	eljurnar
diligence	eljuna
diligence	eljunni
diligence	eljan
diligence	elju
diligence	eljunnar
diligence	eljunum
diligence	eljum
perseverance	elja
perseverance	eljanna
perseverance	eljur
perseverance	eljurnar
perseverance	eljuna
perseverance	eljunni
perseverance	eljan
perseverance	elju
perseverance	eljunnar
perseverance	eljunum
perseverance	eljum
work hard	elja
old age	elli
old age	ellinni
old age	ellin
old age	ellina
old age	ellinnar
old-age pension	ellilífeyrir
alder	elri
blyth's reed warbler	elrisöngvari
darling	elska
darling	elskan
darling	elskna
darling	elskum
darling	elskuna
darling	elskunni
darling	elskanna
darling	elskurnar
darling	elskunum
darling	elskunnar
darling	elsku
love	elska
love	elskaði
love	elski
love	elskið
love	elskum
love	elskaðu
love	elskað
love	elskar
lover	elskhugi
lover	elskhuganna
lover	elskhugum
lover	elskhugar
lover	elskhuginn
lover	elskhuganum
lover	elskhugarnir
lover	elskhugann
lover	elskhugans
lover	elskhugunum
lover	elskhuga
lover	elskhugana
game of hide-and-seek	eltingarleikur
tag	eltingarleikur
position	embætti
position	embættin
position	embættum
position	embættanna
position	embættunum
position	embættisins
position	embættinu
position	embætta
position	embættið
position	embættis
office	embætti
office	embættin
office	embættum
office	embættanna
office	embættunum
office	embættisins
office	embættinu
office	embætta
office	embættið
office	embættis
terminal	endastöð
terminus	endastöð
anus	endaþarmsop
anus	endaþarmsopum
anus	endaþarmsopin
anus	endaþarmsops
anus	endaþarmsopunum
anus	endaþarmsopanna
anus	endaþarmsopsins
anus	endaþarmsopa
anus	endaþarmsopið
anus	endaþarmsopinu
anus	endaþarmsopi
rectum	endaþarmur
rectum	endaþarma
rectum	endaþarminn
rectum	endaþarmar
rectum	endaþarmi
rectum	endaþarminum
rectum	endaþarmsins
rectum	endaþarm
rectum	endaþörmunum
rectum	endaþarms
rectum	endaþarmana
rectum	endaþarmurinn
rectum	endaþörmum
rectum	endaþarmarnir
rectum	endaþarmanna
ending	ending
ending	endinganna
ending	endinguna
ending	endingunni
ending	endingu
ending	endingunum
ending	endingum
ending	endingin
ending	endingarnar
ending	endingarinnar
ending	endingar
ending	endinga
suffix	ending
suffix	endinganna
suffix	endinguna
suffix	endingunni
suffix	endingu
suffix	endingunum
suffix	endingum
suffix	endingin
suffix	endingarnar
suffix	endingarinnar
suffix	endingar
suffix	endinga
end	endir
end	endis
end	endinum
end	endinn
end	endum
end	endar
end	endanna
end	enda
end	endana
end	endarnir
end	endunum
end	endi
end	endirinn
end	endisins
improvement	endurbót
reform	endurbót
reunion	endurfundur
reunion	endurfundsins
reunion	endurfundanna
reunion	endurfundar
reunion	endurfundum
reunion	endurfunds
reunion	endurfundinn
reunion	endurfund
reunion	endurfundinum
reunion	endurfundarnir
reunion	endurfundi
reunion	endurfundurinn
reunion	endurfundana
reunion	endurfundunum
reunion	endurfunda
repayment	endurgreiðsla
refund	endurgreiðsla
reimbursement	endurgreiðsla
rehabilitation	endurhæfing
rehabilitation	endurhæfingu
rehabilitation	endurhæfinguna
rehabilitation	endurhæfingarinnar
rehabilitation	endurhæfingar
rehabilitation	endurhæfingunni
rehabilitation	endurhæfingin
resuscitation	endurlífgun
resuscitation	endurlífgunar
resuscitation	endurlífgunum
resuscitation	endurlífganirnar
resuscitation	endurlífgununum
resuscitation	endurlífganir
resuscitation	endurlífgana
resuscitation	endurlífgunina
resuscitation	endurlífgunarinnar
resuscitation	endurlífgananna
resuscitation	endurlífgunin
resuscitation	endurlífguninni
refresher course	endurmenntun
memoirs	endurminning
memoirs	endurminningarinnar
memoirs	endurminningin
memoirs	endurminninga
memoirs	endurminningum
memoirs	endurminningunni
memoirs	endurminningar
memoirs	endurminninganna
memoirs	endurminninguna
memoirs	endurminningunum
memoirs	endurminningu
memoirs	endurminningarnar
renewable energy	endurnýjanleg orka
renewable energy	endurnýjanlegar orkur
renewable energy	endurnýjanlegu orkuna
renewable energy	endurnýjanlegri orku
renewable energy	endurnýjanlegu orkurnar
renewable energy	endurnýjanlegra orka
renewable energy	endurnýjanlegu orkunni
renewable energy	endurnýjanlegu orkunum
renewable energy	endurnýjanlegrar orku
renewable energy	endurnýjanlega orkan
renewable energy	endurnýjanlegu orkanna
renewable energy	endurnýjanlegu orkunnar
renewable energy	endurnýjanlegum orkum
renewable energy	endurnýjanlega orku
restoration	endurreisn
rebuilding	endurreisn
reconstruction	endurreisn
renaissance	endurreisn
renaissance	endurreisnarstefna
reflection	endurskin
reflection	endurskini
reflection	endurskininu
reflection	endurskins
reflection	endurskinið
reflection	endurskinsins
reflector	endurskinsmerki
reflector	endurskinsmerkjum
reflector	endurskinsmerkin
reflector	endurskinsmerkja
reflector	endurskinsmerkisins
reflector	endurskinsmerkjanna
reflector	endurskinsmerkið
reflector	endurskinsmerkis
reflector	endurskinsmerkjunum
reflector	endurskinsmerkinu
revision	endurskoðun
reflection	endurspeglun
reflection	endurspeglunarinnar
reflection	endurspegluninni
reflection	endurspeglunin
reflection	endurspeglanir
reflection	endurspeglunum
reflection	endurspeglanirnar
reflection	endurspeglananna
reflection	endurspeglunar
reflection	endurspeglana
reflection	endurspeglunina
reflection	endurspeglununum
retelling	endursögn
new version	endursögn
repetition	endurtekning
recycling	endurvinnsla
meadow	engi
meadow	engisins
meadow	engjanna
meadow	engjunum
meadow	enginu
meadow	engja
meadow	engis
meadow	engið
meadow	engjum
angel	engill
angel	englarnir
angel	engilsins
angel	engla
angel	engil
angel	englana
angel	engli
angel	englunum
angel	engilinn
angel	englanna
angel	engillinn
angel	englum
angel	englar
angel	englinum
angel	engils
corn crake	engirella
locust	engispretta
grasshopper	engispretta
grasshopper warbler	engisöngvari
water forget-me-not	engjamunablóm
water forget-me-not	engjamunablómsins
water forget-me-not	engjamunablómin
water forget-me-not	engjamunablómum
water forget-me-not	engjamunablóms
water forget-me-not	engjamunablómið
water forget-me-not	engjamunablómi
water forget-me-not	engjamunablómanna
water forget-me-not	engjamunablóminu
water forget-me-not	engjamunablómunum
water forget-me-not	engjamunablóma
true forget-me-not	engjamunablóm
true forget-me-not	engjamunablómsins
true forget-me-not	engjamunablómin
true forget-me-not	engjamunablómum
true forget-me-not	engjamunablóms
true forget-me-not	engjamunablómið
true forget-me-not	engjamunablómi
true forget-me-not	engjamunablómanna
true forget-me-not	engjamunablóminu
true forget-me-not	engjamunablómunum
true forget-me-not	engjamunablóma
swamp cinquefoil	engjarós
swamp cinquefoil	engjarósanna
swamp cinquefoil	engjarósa
swamp cinquefoil	engjarósum
swamp cinquefoil	engjarósir
swamp cinquefoil	engjarósinni
swamp cinquefoil	engjarósunum
swamp cinquefoil	engjarósar
swamp cinquefoil	engjarósarinnar
swamp cinquefoil	engjarósirnar
swamp cinquefoil	engjarósin
swamp cinquefoil	engjarósina
headband	ennisband
Frontalis muscle	ennisvöðvi
Frontalis muscle	ennisvöðvanum
Frontalis muscle	ennisvöðvinn
Frontalis muscle	ennisvöðva
Frontalis muscle	ennisvöðvans
Frontalis muscle	ennisvöðvanna
Frontalis muscle	ennisvöðvum
Frontalis muscle	ennisvöðvana
Frontalis muscle	ennisvöðvunum
Frontalis muscle	ennisvöðvarnir
Frontalis muscle	ennisvöðvann
Frontalis muscle	ennisvöðvar
English	enska
English	enskuna
English	ensku
English	enskunnar
English	enskunni
enzyme	ensím
enzyme	ensími
enzyme	ensímið
enzyme	ensíms
enzyme	ensímsins
enzyme	ensímunum
enzyme	ensíminu
enzyme	ensíma
enzyme	ensímum
enzyme	ensímin
enzyme	ensímanna
apple pie	eplakaka
core	eplakjarni
core	eplakjörnum
core	eplakjörnunum
core	eplakjarnans
core	eplakjarna
core	eplakjarnar
core	eplakjarninn
core	eplakjarnana
core	eplakjarnarnir
core	eplakjarnanna
core	eplakjarnanum
core	eplakjarnann
apple seed	eplakjarni
apple seed	eplakjörnum
apple seed	eplakjörnunum
apple seed	eplakjarnans
apple seed	eplakjarna
apple seed	eplakjarnar
apple seed	eplakjarninn
apple seed	eplakjarnana
apple seed	eplakjarnarnir
apple seed	eplakjarnanna
apple seed	eplakjarnanum
apple seed	eplakjarnann
apple juice	eplasafi
apple juice	eplasafanum
apple juice	eplasafann
apple juice	eplasafana
apple juice	eplasafa
apple juice	eplasafanna
apple juice	eplasöfunum
apple juice	eplasöfum
apple juice	eplasafar
apple juice	eplasafarnir
apple juice	eplasafans
apple juice	eplasafinn
cider	eplavín
cider	eplavíns
cider	eplavínanna
cider	eplavínunum
cider	eplavínum
cider	eplavínið
cider	eplavínin
cider	eplavína
cider	eplavíninu
cider	eplavíni
cider	eplavínsins
apple	epli
apple	eplin
apple	eplisins
apple	eplunum
apple	eplinu
apple	eplanna
apple	epla
apple	eplis
apple	eplum
apple	eplið
epic	epík
erbium	erbín
erbium	erbínsins
erbium	erbíninu
erbium	erbínið
erbium	erbíns
erbium	erbíni
heir	erfingi
successor	erfingi
funeral feast	erfisdrykkja
wake	erfisdrykkja
fatigue	erfiði
fatigue	erfiðinu
fatigue	erfiðisins
fatigue	erfiðis
fatigue	erfiðið
hard work	erfiði
hard work	erfiðinu
hard work	erfiðisins
hard work	erfiðis
hard work	erfiðið
genome	erfðaefni
genome	erfðaefnið
genome	erfðaefnum
genome	erfðaefninu
genome	erfðaefnis
genome	erfðaefnunum
genome	erfðaefnanna
genome	erfðaefnisins
genome	erfðaefnin
genome	erfðaefna
genetic fault	erfðagalli
genetic defect	erfðagalli
genome	erfðamengi
genome	erfðamengjunum
genome	erfðamengja
genome	erfðamengis
genome	erfðamengið
genome	erfðamengin
genome	erfðamengisins
genome	erfðamenginu
genome	erfðamengjum
genome	erfðamengjanna
inheritance law	erfðaréttur
right to inherit	erfðaréttur
right to succession	erfðaréttur
will	erfðaskrá
will	erfðaskrárnar
will	erfðaskránni
will	erfðaskránum
will	erfðaskráa
will	erfðaskrám
will	erfðaskrána
will	erfðaskránna
will	erfðaskráin
will	erfðaskrár
will	erfðaskrárinnar
testament	erfðaskrá
testament	erfðaskrárnar
testament	erfðaskránni
testament	erfðaskránum
testament	erfðaskráa
testament	erfðaskrám
testament	erfðaskrána
testament	erfðaskránna
testament	erfðaskráin
testament	erfðaskrár
testament	erfðaskrárinnar
gene	erfðavísir
gene	erfðavísar
gene	erfðavísis
gene	erfðavísirinn
gene	erfðavísanna
gene	erfðavísum
gene	erfðavísana
gene	erfðavísi
gene	erfðavísarnir
gene	erfðavísunum
gene	erfðavísisins
gene	erfðavísinn
gene	erfðavísinum
gene	erfðavísa
frustration	ergelsi
irritation	ergelsi
busy activity	erill
business	erindi
business	erindin
business	erinda
business	erindið
business	erindisins
business	erindis
business	erindinu
business	erindanna
business	erindum
business	erindunum
errand	erindi
errand	erindin
errand	erinda
errand	erindið
errand	erindisins
errand	erindis
errand	erindinu
errand	erindanna
errand	erindum
errand	erindunum
message	erindi
message	erindin
message	erinda
message	erindið
message	erindisins
message	erindis
message	erindinu
message	erindanna
message	erindum
message	erindunum
lecture	erindi
lecture	erindin
lecture	erinda
lecture	erindið
lecture	erindisins
lecture	erindis
lecture	erindinu
lecture	erindanna
lecture	erindum
lecture	erindunum
talk	erindi
talk	erindin
talk	erinda
talk	erindið
talk	erindisins
talk	erindis
talk	erindinu
talk	erindanna
talk	erindum
talk	erindunum
stanza	erindi
stanza	erindin
stanza	erinda
stanza	erindið
stanza	erindisins
stanza	erindis
stanza	erindinu
stanza	erindanna
stanza	erindum
stanza	erindunum
representative	erindreki
agent	erindreki
archbishop	erkibiskup
archbishop	erkibiskupinum
archbishop	erkibiskupum
archbishop	erkibiskupar
archbishop	erkibiskupanna
archbishop	erkibiskupsins
archbishop	erkibiskupinn
archbishop	erkibiskups
archbishop	erkibiskuparnir
archbishop	erkibiskupi
archbishop	erkibiskupana
archbishop	erkibiskupunum
archbishop	erkibiskupa
sleeve	ermi
sleeve	ermarinnar
sleeve	ermanna
sleeve	erma
sleeve	ermunum
sleeve	ermarnar
sleeve	erminni
sleeve	ermina
sleeve	ermum
sleeve	ermar
sleeve	ermin
pea	erta
pea	ertnanna
pea	ertur
pea	erturnar
pea	ertuna
pea	ertunni
pea	ertna
pea	ertan
pea	ertu
pea	ertunnar
pea	ertunum
pea	ertum
irritation	erting
aggravation	erting
excitation	erting
titillation	erting
pisidium	ertuskel
pisidium	ertuskelja
pisidium	ertuskeljarnar
pisidium	ertuskeljar
pisidium	ertuskelin
pisidium	ertuskelinni
pisidium	ertuskeljanna
pisidium	ertuskeljarinnar
pisidium	ertuskeljunum
pisidium	ertuskeljum
pisidium	ertuskelina
Eskimo	eskimói
ash	eskiviður
ash	eskiviðinn
ash	eskiviðar
ash	eskiviðirnir
ash	eskiviðarins
ash	eskiviðunum
ash	eskiviðina
ash	eskivið
ash	eskiviðnum
ash	eskiviða
ash	eskiviðir
ash	eskiviðurinn
ash	eskiviðum
ash	eskiviðanna
ash	eskiviði
ashwood	eskiviður
ashwood	eskiviðinn
ashwood	eskiviðar
ashwood	eskiviðirnir
ashwood	eskiviðarins
ashwood	eskiviðunum
ashwood	eskiviðina
ashwood	eskivið
ashwood	eskiviðnum
ashwood	eskiviða
ashwood	eskiviðir
ashwood	eskiviðurinn
ashwood	eskiviðum
ashwood	eskiviðanna
ashwood	eskiviði
Esperanto	esperantó
expresso	espressó
essence	essens
euro	evra
euro	evrur
euro	evrunum
euro	evrum
euro	evrurnar
euro	evran
euro	evrunni
euro	evru
euro	evruna
euro	evranna
euro	evrunnar
European larch	evrópulerki
